method,time_ms,memory_peak_kb
mysqli_procedural_static,96.8992,1889.4453125
mysqli_procedural_static,95.3012,1889.4453125
mysqli_procedural_static,94.8344,1889.4453125
mysqli_procedural_static,94.8261,1889.4453125
mysqli_procedural_static,96.743,1889.4453125
mysqli_procedural_static,94.6207,1889.4453125
mysqli_procedural_static,94.0129,1889.4453125
mysqli_procedural_static,94.3099,1889.4453125
mysqli_procedural_static,92.8264,1889.4453125
mysqli_procedural_static,93.9494,1889.4453125
mysqli_procedural_static,96.0168,1889.4453125
mysqli_procedural_static,95.9618,1889.4453125
mysqli_procedural_static,95.6471,1889.4453125
mysqli_procedural_static,95.1034,1889.4453125
mysqli_procedural_static,94.5429,1889.4453125
mysqli_procedural_static,96.2951,1889.4453125
mysqli_procedural_static,94.9122,1889.4453125
mysqli_procedural_static,93.9815,1889.4453125
mysqli_procedural_static,95.1209,1889.4453125
mysqli_procedural_static,93.3109,1889.4453125
mysqli_procedural_static,97.0571,1889.4453125
mysqli_procedural_static,96.4137,1889.4453125
mysqli_procedural_static,95.7994,1889.4453125
mysqli_procedural_static,94.0394,1889.4453125
mysqli_procedural_static,96.1172,1889.4453125
mysqli_procedural_static,95.5544,1889.4453125
mysqli_procedural_static,95.8735,1889.4453125
mysqli_procedural_static,94.4481,1889.4453125
mysqli_procedural_static,95.487,1889.4453125
mysqli_procedural_static,95.7101,1889.4453125
mysqli_procedural_static,98.6141,1889.4453125
mysqli_procedural_static,94.6187,1889.4453125
mysqli_procedural_static,96.8729,1889.4453125
mysqli_procedural_static,94.0657,1889.4453125
mysqli_procedural_static,95.089,1889.4453125
mysqli_procedural_static,95.1537,1889.4453125
mysqli_procedural_static,95.2125,1889.4453125
mysqli_procedural_static,93.8351,1889.4453125
mysqli_procedural_static,94.1935,1889.4453125
mysqli_procedural_static,93.3385,1889.4453125
mysqli_procedural_static,93.5685,1889.4453125
mysqli_procedural_static,96.7282,1889.4453125
mysqli_procedural_static,95.221,1889.4453125
mysqli_procedural_static,95.5367,1889.4453125
mysqli_procedural_static,95.6625,1889.4453125
mysqli_procedural_static,95.4439,1889.4453125
mysqli_procedural_static,98.5254,1889.4453125
mysqli_procedural_static,94.3537,1889.4453125
mysqli_procedural_static,95.2769,1889.4453125
mysqli_procedural_static,94.5707,1889.4453125
mysqli_procedural_static,96.3727,1889.4453125
mysqli_procedural_static,95.3761,1889.4453125
mysqli_procedural_static,93.5936,1889.4453125
mysqli_procedural_static,95.3549,1889.4453125
mysqli_procedural_static,94.5901,1889.4453125
mysqli_procedural_static,94.0241,1889.4453125
mysqli_procedural_static,96.3,1889.4453125
mysqli_procedural_static,95.618,1889.4453125
mysqli_procedural_static,94.4094,1889.4453125
mysqli_procedural_static,93.7487,1889.4453125
mysqli_procedural_static,95.2866,1889.4453125
mysqli_procedural_static,95.7535,1889.4453125
mysqli_procedural_static,95.1863,1889.4453125
mysqli_procedural_static,94.573,1889.4453125
mysqli_procedural_static,94.5868,1889.4453125
mysqli_procedural_static,94.9475,1889.4453125
mysqli_procedural_static,95.1343,1889.4453125
mysqli_procedural_static,95.0344,1889.4453125
mysqli_procedural_static,95.5973,1889.4453125
mysqli_procedural_static,94.8766,1889.4453125
mysqli_procedural_static,97.0583,1889.4453125
mysqli_procedural_static,95.6404,1889.4453125
mysqli_procedural_static,96.5843,1889.4453125
mysqli_procedural_static,95.2038,1889.4453125
mysqli_procedural_static,95.1572,1889.4453125
mysqli_procedural_static,94.106,1889.4453125
mysqli_procedural_static,95.386,1889.4453125
mysqli_procedural_static,96.3636,1889.4453125
mysqli_procedural_static,96.9665,1889.4453125
mysqli_procedural_static,94.607,1889.4453125
mysqli_procedural_static,94.5138,1889.4453125
mysqli_procedural_static,98.1809,1889.4453125
mysqli_procedural_static,94.6142,1889.4453125
mysqli_procedural_static,96.4845,1889.4453125
mysqli_procedural_static,94.1882,1889.4453125
mysqli_procedural_static,95.3389,1889.4453125
mysqli_procedural_static,94.0736,1889.4453125
mysqli_procedural_static,95.8729,1889.4453125
mysqli_procedural_static,98.1561,1889.4453125
mysqli_procedural_static,94.8865,1889.4453125
mysqli_procedural_static,94.5137,1889.4453125
mysqli_procedural_static,94.8766,1889.4453125
mysqli_procedural_static,104.6065,1889.4453125
mysqli_procedural_static,95.192,1889.4453125
mysqli_procedural_static,95.0419,1889.4453125
mysqli_procedural_static,95.2567,1889.4453125
