method,time_ms,memory_peak_kb
mysqli_object_static,15.3453,63.1953125
mysqli_object_static,15.5027,63.1953125
mysqli_object_static,15.2352,63.1953125
mysqli_object_static,15.6753,63.1953125
mysqli_object_static,15.2661,63.1953125
mysqli_object_static,15.3603,63.1953125
mysqli_object_static,15.2509,63.1953125
mysqli_object_static,15.2955,63.1953125
mysqli_object_static,15.3782,60.6953125
mysqli_object_static,14.935,60.6953125
mysqli_object_static,15.0866,60.6953125
mysqli_object_static,15.4474,60.6953125
mysqli_object_static,15.4996,60.6953125
mysqli_object_static,15.1776,60.6953125
mysqli_object_static,25.2561,60.6953125
mysqli_object_static,15.4751,60.6953125
mysqli_object_static,15.4643,60.6953125
mysqli_object_static,15.2077,60.6953125
mysqli_object_static,18.7296,60.6953125
mysqli_object_static,15.8225,60.6953125
mysqli_object_static,15.4573,60.6953125
mysqli_object_static,15.3067,60.6953125
mysqli_object_static,14.8705,60.6953125
mysqli_object_static,15.383,60.6953125
mysqli_object_static,15.2015,60.6953125
mysqli_object_static,15.7408,60.6953125
mysqli_object_static,18.9177,60.6953125
mysqli_object_static,15.3224,60.6953125
mysqli_object_static,15.1747,60.6953125
mysqli_object_static,15.2297,60.6953125
mysqli_object_static,15.2855,60.6953125
mysqli_object_static,14.7612,60.6953125
mysqli_object_static,15.3831,60.6953125
mysqli_object_static,15.2475,60.6953125
mysqli_object_static,15.3031,60.6953125
mysqli_object_static,15.3283,60.6953125
mysqli_object_static,15.3466,60.6953125
mysqli_object_static,14.829,60.6953125
mysqli_object_static,15.5039,60.6953125
mysqli_object_static,15.674,60.6953125
mysqli_object_static,15.916,49.6953125
mysqli_object_static,14.7216,49.6953125
mysqli_object_static,14.4459,49.6953125
mysqli_object_static,15.694,49.6953125
mysqli_object_static,15.9158,49.6953125
mysqli_object_static,15.7471,49.6953125
mysqli_object_static,15.5155,49.6953125
mysqli_object_static,15.5816,49.6953125
mysqli_object_static,14.7151,49.6953125
mysqli_object_static,15.404,49.6953125
mysqli_object_static,15.0404,49.6953125
mysqli_object_static,15.2609,49.6953125
mysqli_object_static,15.3946,49.6953125
mysqli_object_static,15.5744,49.6953125
mysqli_object_static,15.237,49.6953125
mysqli_object_static,15.3426,49.6953125
mysqli_object_static,15.3838,49.6953125
mysqli_object_static,15.4612,49.6953125
mysqli_object_static,15.1735,49.6953125
mysqli_object_static,15.0566,49.6953125
mysqli_object_static,15.1713,49.6953125
mysqli_object_static,18.9525,49.6953125
mysqli_object_static,14.815,49.6953125
mysqli_object_static,15.0729,49.6953125
mysqli_object_static,15.0238,49.6953125
mysqli_object_static,15.4795,49.6953125
mysqli_object_static,15.2114,49.6953125
mysqli_object_static,15.2572,49.6953125
mysqli_object_static,16.3253,49.6953125
mysqli_object_static,15.5795,49.6953125
mysqli_object_static,14.6034,49.6953125
mysqli_object_static,15.2852,49.6953125
mysqli_object_static,15.3014,49.6953125
mysqli_object_static,15.306,49.6953125
mysqli_object_static,15.403,49.6953125
mysqli_object_static,15.3265,49.6953125
mysqli_object_static,15.908,49.6953125
mysqli_object_static,15.2024,49.6953125
mysqli_object_static,15.4704,49.6953125
mysqli_object_static,15.6475,49.6953125
mysqli_object_static,14.7022,49.6953125
mysqli_object_static,15.0754,49.6953125
mysqli_object_static,15.3033,49.6953125
mysqli_object_static,15.444,49.6953125
mysqli_object_static,15.3398,49.6953125
mysqli_object_static,15.4049,49.6953125
mysqli_object_static,14.8194,49.6953125
mysqli_object_static,15.1872,49.6953125
mysqli_object_static,15.1444,49.6953125
mysqli_object_static,21.6965,49.6953125
mysqli_object_static,16.0262,49.6953125
mysqli_object_static,15.3554,49.6953125
mysqli_object_static,15.3481,49.6953125
mysqli_object_static,15.5432,49.6953125
mysqli_object_static,15.0715,49.6953125
mysqli_object_static,15.0614,49.6953125
mysqli_object_static,15.1865,49.6953125
mysqli_object_static,15.3857,49.6953125
mysqli_object_static,15.2295,49.6953125
mysqli_object_static,15.1857,49.6953125
mysqli_object_static,15.0876,49.6953125
mysqli_object_static,15.2459,49.6953125
mysqli_object_static,15.3531,49.6953125
mysqli_object_static,15.4624,49.6953125
mysqli_object_static,15.4726,41.6953125
mysqli_object_static,15.3527,41.6953125
mysqli_object_static,15.5571,41.6953125
mysqli_object_static,17.8213,41.6953125
mysqli_object_static,15.6225,41.6953125
mysqli_object_static,15.9374,41.6953125
mysqli_object_static,15.3561,41.6953125
mysqli_object_static,15.3281,41.6953125
mysqli_object_static,15.3544,41.6953125
mysqli_object_static,15.2564,41.6953125
mysqli_object_static,15.535,41.6953125
mysqli_object_static,15.2283,41.6953125
mysqli_object_static,15.31,41.6953125
mysqli_object_static,15.1832,41.6953125
mysqli_object_static,24.9681,41.6953125
mysqli_object_static,15.4309,41.6953125
mysqli_object_static,15.4507,41.6953125
mysqli_object_static,15.3988,41.6953125
mysqli_object_static,15.6718,41.6953125
mysqli_object_static,15.1955,41.6953125
mysqli_object_static,15.936,41.6953125
mysqli_object_static,15.5268,41.6953125
mysqli_object_static,15.3237,41.6953125
mysqli_object_static,15.8766,41.6953125
mysqli_object_static,15.3435,41.6953125
mysqli_object_static,15.2697,41.6953125
mysqli_object_static,15.2969,41.6953125
mysqli_object_static,23.1771,41.6953125
mysqli_object_static,15.6204,41.6953125
mysqli_object_static,15.2587,41.6953125
mysqli_object_static,15.8671,41.6953125
mysqli_object_static,15.3331,41.6953125
mysqli_object_static,15.2644,41.6953125
mysqli_object_static,15.5059,41.6953125
mysqli_object_static,15.8244,41.6953125
mysqli_object_static,15.2574,41.6953125
mysqli_object_static,15.1688,41.6953125
mysqli_object_static,15.8477,41.6953125
mysqli_object_static,15.4943,41.6953125
mysqli_object_static,15.4928,41.6953125
mysqli_object_static,15.9173,41.6953125
mysqli_object_static,15.2204,41.6953125
mysqli_object_static,15.2074,41.6953125
mysqli_object_static,15.1768,41.6953125
mysqli_object_static,15.6451,41.6953125
mysqli_object_static,15.7136,41.6953125
mysqli_object_static,15.124,41.6953125
mysqli_object_static,15.1711,41.6953125
mysqli_object_static,15.4165,41.6953125
mysqli_object_static,15.3849,41.6953125
mysqli_object_static,14.8953,41.6953125
mysqli_object_static,18.2541,41.6953125
mysqli_object_static,15.9517,41.6953125
mysqli_object_static,15.2831,41.6953125
mysqli_object_static,15.2438,41.6953125
mysqli_object_static,15.2421,41.6953125
mysqli_object_static,15.136,41.6953125
mysqli_object_static,15.0949,41.6953125
mysqli_object_static,14.6636,41.6953125
mysqli_object_static,14.7726,41.6953125
mysqli_object_static,15.4188,41.6953125
mysqli_object_static,15.1772,41.6953125
mysqli_object_static,21.3464,41.6953125
mysqli_object_static,15.0743,41.6953125
mysqli_object_static,15.4455,41.6953125
